Taxa,Dat1_Exp,NL1_S1,NL2_S6,NL3_S8,NL4_S22,NL5_S24,NL6_S26,NL7_S36,NL8_S39,PC1_S10,PC2_S15,PC3_S20,PC4_S29,Dat1_Cont
Taxon123,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon124,202,0,0,0,0,0,0,0,0,1,0,0,0,1
Taxon125,766,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon126,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon127,6186,0,0,3,0,0,0,0,0,4,2,0,0,9
Taxon128,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon129,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon130,1678,0,0,0,0,0,0,0,0,0,0,0,1,1
Taxon131,194,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon132,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon133,342,0,0,0,0,0,1,0,0,0,0,0,0,1
Taxon134,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon135,473,0,0,0,0,0,0,1,0,0,0,0,0,1
Taxon136,25,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon137,258,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon138,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon139,49,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon140,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon141,1146,0,0,0,0,0,0,0,0,0,1,0,0,1
Taxon142,130,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon143,204,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon144,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon145,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon146,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon147,6139,0,0,0,0,0,0,2,0,0,2,0,0,4
Taxon148,1165,0,0,0,1,0,0,0,0,0,0,0,0,1
Taxon149,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon150,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon151,657,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon152,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon153,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon154,469,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon155,36,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon156,110,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon157,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon158,2641,0,0,0,0,0,0,0,0,0,2,0,2,4
Taxon159,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon160,645,0,0,0,0,0,0,0,0,0,1,0,0,1
Taxon161,39,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon162,10768,0,0,4,0,0,0,0,0,4,0,0,0,8
Taxon163,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon164,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon165,49,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon166,27,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon167,7251,0,0,0,1,0,0,0,0,1,1,0,0,3
Taxon168,246,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon169,2261,0,0,0,0,0,0,1,0,0,1,0,0,2
Taxon170,1350,0,0,0,0,0,1,0,0,0,0,0,0,1
Taxon171,7166,0,0,0,4,0,0,0,0,0,0,2,0,6
Taxon172,126,0,0,0,0,0,0,0,0,0,1,0,0,1
Taxon173,123,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon174,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon175,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon176,492,0,0,0,0,1,0,0,0,0,0,0,0,1
Taxon177,146,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon178,3950,0,0,0,0,0,0,1,0,0,0,0,0,1
Taxon179,52,0,0,0,0,0,0,0,0,0,0,0,1,1
Taxon180,6274,0,0,4,0,2,0,0,0,4,0,0,0,10
Taxon181,148,1,0,0,0,0,0,0,0,0,0,0,0,1
Taxon182,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon183,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon184,2,0,0,0,0,0,0,0,0,0,0,0,0,0
